example_id                                                                  | status  | run_time        |
./spec/presenters/entity_presenter_spec.rb[1:2:1]                           | passed  | 0.00235 seconds |
./spec/presenters/flag_presenter_spec.rb[1:1]                               | passed  | 0.04466 seconds |
./spec/presenters/flag_presenter_spec.rb[1:2]                               | passed  | 0.05504 seconds |
./spec/presenters/flag_presenter_spec.rb[1:3]                               | passed  | 0.05731 seconds |
./spec/presenters/flag_presenter_spec.rb[1:4]                               | passed  | 0.05872 seconds |
./spec/presenters/line_item_presenter_spec.rb[1:1:1]                        | unknown |                 |
./spec/presenters/line_item_presenter_spec.rb[1:2:1:1]                      | unknown |                 |
./spec/presenters/other_location_presenter_spec.rb[1:1:1]                   | passed  | 0.00293 seconds |
./spec/presenters/other_location_presenter_spec.rb[1:1:2:1]                 | passed  | 0.00225 seconds |
./spec/presenters/other_location_presenter_spec.rb[1:2:1:1]                 | passed  | 0.00169 seconds |
./spec/presenters/other_location_presenter_spec.rb[1:2:2:1]                 | passed  | 0.00155 seconds |
./spec/presenters/other_location_presenter_spec.rb[1:2:3:1]                 | passed  | 0.00172 seconds |
./spec/presenters/other_location_presenter_spec.rb[1:3:1:1]                 | passed  | 0.00174 seconds |
./spec/presenters/other_location_presenter_spec.rb[1:3:2:1]                 | passed  | 0.00161 seconds |
./spec/presenters/other_location_presenter_spec.rb[1:3:3:1]                 | passed  | 0.00152 seconds |
./spec/presenters/school_presenter_spec.rb[1:1:1]                           | passed  | 0.00192 seconds |
./spec/presenters/school_presenter_spec.rb[1:1:2:1]                         | passed  | 0.00179 seconds |
./spec/presenters/school_presenter_spec.rb[1:2:1:1]                         | passed  | 0.00165 seconds |
./spec/presenters/school_presenter_spec.rb[1:2:2:1]                         | passed  | 0.00162 seconds |
./spec/presenters/school_presenter_spec.rb[1:2:3:1]                         | passed  | 0.00178 seconds |
./spec/presenters/school_presenter_spec.rb[1:3:1:1]                         | passed  | 0.00161 seconds |
./spec/presenters/school_presenter_spec.rb[1:3:2:1]                         | passed  | 0.00143 seconds |
